mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-11,orders,delivery_charges,both,$.orders[].header.deliveryCharges,/OperationsExport/Orders/Order/Header/Delivery_Charges,Remove XML currency label/thousands separators where present; convert to numeric and round/compare with tolerance 0.01.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-12,orders,coupon_code,both,$.orders[].header.couponCode,/OperationsExport/Orders/Order/Header/Coupon_Code,Trim surrounding whitespace; return the literal string NaN when the optional string is absent.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-13,orders,coupon_discount,both,$.orders[].header.couponDiscount,/OperationsExport/Orders/Order/Header/Coupon_Discount,Keep JSON numeric percentage points; remove XML percent sign and convert to numeric percentage points.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-14,orders,tax_amount,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,"Calculate included GST as round(canonical order_price / 11, 2) before coupon discount.",Derive from canonical order_price; compare each reported source Tax_Amount within 0.01 in VAL-ARITH-GST-01/VAL-ARITH-TOTAL-01.,Solution §4.1 and §6.4; VAL-ARITH-GST-01
MAP-orders-15,orders,order_total,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice | $.orders[].header.couponDiscount | $.orders[].header.deliveryCharges,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Coupon_Discount | /OperationsExport/Orders/Order/Header/Delivery_Charges,"Calculate round(order_price * (1 - coupon_discount/100) + delivery_charges, 2); do not add included GST again.",Derive from canonical order fields; compare each reported source Order_Total within 0.01 in VAL-ARITH-TOTAL-01.,Solution §4.1 and §6.4; VAL-ARITH-TOTAL-01
MAP-orders-16,orders,season,both,$.orders[].header.season,/OperationsExport/Orders/Order/Header/Season,Trim surrounding whitespace; preserve the structured category.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-17,orders,expedited_delivery,both,$.orders[].header.expeditedDelivery,/OperationsExport/Orders/Order/Header/Expedited_Delivery,Require native JSON boolean; map XML Y/N to Python True/False.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-18,orders,customer_lat,both,$.orders[].header.customerLat,/OperationsExport/Orders/Order/Header/Customer_Lat,Convert to numeric latitude without rounding away source precision.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-19,orders,customer_long,both,$.orders[].header.customerLong,/OperationsExport/Orders/Order/Header/Customer_Long,Convert to numeric longitude without rounding away source precision.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-20,orders,device_type,both,$.orders[].header.deviceType,/OperationsExport/Orders/Order/Header/Device_Type,Trim surrounding whitespace; preserve the structured category.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-21,orders,referral_source,both,$.orders[].header.referralSource,/OperationsExport/Orders/Order/Header/Referral_Source,Trim surrounding whitespace; preserve the structured category.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.1 and §5; VAL-FLOW-ORD-02
MAP-orders-22,orders,customer_note_clean,derived,$.orders[].header.customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,Apply the shared clean_narrative_text function to the structured raw note; return literal NaN when no human-readable text remains.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §3 and §4.1; VAL-TEXT-ORD-01
MAP-orders-23,orders,promo_code,derived,$.orders[].header.customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,Apply extract_promo_code to the raw structured note before cleaning; return upper-case code or literal NaN.,"After target-field normalisation, compare all values within and across sources by order_id; require agreement, record VAL-FLOW-ORD-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §3 and §4.1; VAL-TEXT-ORD-01
MAP-order_items-01,order_items,order_item_id,both,$.orders[].shoppingCart[].orderItemID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_Item_ID,Trim surrounding whitespace; reject empty/null-like text such as literal NaN; preserve case and leading zeros; use as the canonical item business key.,"After target-field normalisation, compare all values within and across sources by order_item_id; require agreement, record VAL-FLOW-ITM-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.2 and §5; VAL-PK-ITM-01 | VAL-FLOW-ITM-02
MAP-order_items-02,order_items,order_id,both,$.orders[].shoppingCart[].orderID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_ID,Trim surrounding whitespace; reject empty/null-like text such as literal NaN; preserve case/leading zeros; validate against orders.order_id.,"After target-field normalisation, compare all values within and across sources by order_item_id; require agreement, record VAL-FLOW-ITM-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.2 and §6.2; VAL-FK-ITM-ORD-01
MAP-order_items-03,order_items,product_id,both,$.orders[].shoppingCart[].productID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Product_ID,Trim surrounding whitespace; reject empty/null-like text such as literal NaN; preserve case/leading zeros; validate against products.product_id.,"After target-field normalisation, compare all values within and across sources by order_item_id; require agreement, record VAL-FLOW-ITM-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.2 and §6.2; VAL-FK-ITM-PROD-01
MAP-order_items-04,order_items,quantity,both,$.orders[].shoppingCart[].quantity,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity,Convert to an integer-valued numeric quantity; reject non-integral or non-positive values.,"After target-field normalisation, compare all values within and across sources by order_item_id; require agreement, record VAL-FLOW-ITM-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.2 and §6.4; VAL-ARITH-LINE-01
MAP-order_items-05,order_items,unit_price,both,$.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,Remove XML currency label/thousands separators where present; convert to numeric and compare with tolerance 0.01.,"After target-field normalisation, compare all values within and across sources by order_item_id; require agreement, record VAL-FLOW-ITM-02 and stop export on conflict; retain one canonical row only after agreement.",Solution §4.2 and §6.4; VAL-ARITH-LINE-01
MAP-order_items-06,order_items,line_revenue,derived,$.orders[].shoppingCart[].quantity | $.orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,"Calculate round(quantity * unit_price, 2) from canonical item inputs.",Recompute from canonical quantity/unit_price; compare each source-reported Line_Revenue within 0.01 in VAL-ARITH-LINE-01.,Solution §4.2 and §6.4; VAL-ARITH-LINE-01
MAP-customers-01,customers,customer_id,JSON,$.customerProfiles[].customerID,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-PK-CUST-01
MAP-customers-02,customers,signup_date,JSON,$.customerProfiles[].signupDate,,strip; parse exact YYYY-MM-DD; output YYYY-MM-DD,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-DATE-CUST-01
MAP-customers-03,customers,loyalty_tier,JSON,$.customerProfiles[].loyaltyTier,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-04,customers,customer_segment,JSON,$.customerProfiles[].customerSegment,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-05,customers,age_band,JSON,$.customerProfiles[].ageBand,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-06,customers,preferred_channel,JSON,$.customerProfiles[].preferredChannel,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-07,customers,home_suburb,JSON,$.customerProfiles[].homeSuburb,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-08,customers,prior_12m_orders,JSON,$.customerProfiles[].prior12MOrders,,numeric parse; integer,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-09,customers,lifetime_value_before_period,JSON,$.customerProfiles[].lifetimeValueBeforePeriod,,numeric parse; round to 2 decimals,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-10,customers,marketing_consent,JSON,$.customerProfiles[].marketingConsent,,preserve native JSON boolean,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-11,customers,home_postcode,JSON,$.customerProfiles[].homePostcode,,strip; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-12,customers,home_state,JSON,$.customerProfiles[].homeState,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-13,customers,home_country,JSON,$.customerProfiles[].homeCountry,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-14,customers,preferred_language,JSON,$.customerProfiles[].preferredLanguage,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-15,customers,acquisition_source,JSON,$.customerProfiles[].acquisitionSource,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-16,customers,account_status,JSON,$.customerProfiles[].accountStatus,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-17,customers,preferred_device,JSON,$.customerProfiles[].preferredDevice,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-18,customers,email_domain,JSON,$.customerProfiles[].emailDomain,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-19,customers,household_size_band,JSON,$.customerProfiles[].householdSizeBand,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-customers-20,customers,contact_frequency_preference,JSON,$.customerProfiles[].contactFrequencyPreference,,strip whitespace; preserve as string,JSON customerProfiles is authoritative; order references are coverage checks only,Solution §4.3; VAL-SCHEMA-CUST-01; VAL-TYPE-CUST-01
MAP-deliveries-01,deliveries,delivery_id,both,$.orders[].delivery.deliveryID,/OperationsExport/Orders/Order/Delivery/Delivery_ID,Trim whitespace; preserve as string business key.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §5; VAL-PK-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-02,deliveries,order_id,both,$.orders[].delivery.orderID,/OperationsExport/Orders/Order/Delivery/Order_ID,Trim whitespace; preserve as string; validate against orders.order_id.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §5; VAL-FK-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-03,deliveries,dispatch_date,both,$.orders[].delivery.dispatchDate,/OperationsExport/Orders/Order/Delivery/Dispatch_Date,Parse JSON YYYY-MM-DD and XML DD/MM/YYYY; emit YYYY-MM-DD.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-TIME-DEL-01
MAP-deliveries-04,deliveries,promised_date,both,$.orders[].delivery.promisedDate,/OperationsExport/Orders/Order/Delivery/Promised_Date,Parse JSON YYYY-MM-DD and XML DD/MM/YYYY; emit YYYY-MM-DD.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-TIME-DEL-01; VAL-ARITH-DEL-01
MAP-deliveries-05,deliveries,delivered_date,both,$.orders[].delivery.deliveredDate,/OperationsExport/Orders/Order/Delivery/Delivered_Date,Parse JSON YYYY-MM-DD and XML DD/MM/YYYY; emit YYYY-MM-DD.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-TIME-DEL-01; VAL-ARITH-DEL-01
MAP-deliveries-06,deliveries,carrier,both,$.orders[].delivery.carrier,/OperationsExport/Orders/Order/Delivery/Carrier,Trim whitespace; preserve structured carrier category.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-07,deliveries,service_level,both,$.orders[].delivery.serviceLevel,/OperationsExport/Orders/Order/Delivery/Service_Level,Trim whitespace; preserve structured service-level category.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-08,deliveries,delivery_status,both,$.orders[].delivery.deliveryStatus,/OperationsExport/Orders/Order/Delivery/Delivery_Status,Trim whitespace; preserve structured delivery-status category.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-09,deliveries,delay_days,both,$.orders[].delivery.delayDays,/OperationsExport/Orders/Order/Delivery/Delay_Days,"Parse as integer number; validate against max(delivered_date - promised_date, 0).",Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-ARITH-DEL-01
MAP-deliveries-10,deliveries,on_time_in_full,both,$.orders[].delivery.onTimeInFull,/OperationsExport/Orders/Order/Delivery/On_Time_In_Full,Keep JSON boolean; map XML Y/N to True/False.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-TYPE-DEL-01; VAL-ARITH-DEL-02
MAP-deliveries-11,deliveries,fulfilment_hours,both,$.orders[].delivery.fulfilmentHours,/OperationsExport/Orders/Order/Delivery/Fulfilment_Hours,Parse as integer number.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-12,deliveries,delivery_cost,both,$.orders[].delivery.deliveryCost,/OperationsExport/Orders/Order/Delivery/Delivery_Cost,Keep JSON numeric; remove XML AUD label/thousands separator and parse numeric.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-13,deliveries,delay_reason,both,$.orders[].delivery.delayReason,/OperationsExport/Orders/Order/Delivery/Delay_Reason,Trim whitespace; preserve structured reason including the valid category none.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-14,deliveries,promised_days,both,$.orders[].delivery.promisedDays,/OperationsExport/Orders/Order/Delivery/Promised_Days,Parse as integer number; validate as promised_date - dispatch_date in days.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-ARITH-DEL-01
MAP-deliveries-15,deliveries,tracking_event_count,both,$.orders[].delivery.trackingEventCount,/OperationsExport/Orders/Order/Delivery/Tracking_Event_Count,Parse as integer number.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-16,deliveries,delivery_window,both,$.orders[].delivery.deliveryWindow,/OperationsExport/Orders/Order/Delivery/Delivery_Window,Trim whitespace; preserve structured delivery-window category.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-17,deliveries,shipping_distance_km,both,$.orders[].delivery.shippingDistanceKm,/OperationsExport/Orders/Order/Delivery/Shipping_Distance_Km,Parse as numeric kilometres.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-18,deliveries,signature_required,both,$.orders[].delivery.signatureRequired,/OperationsExport/Orders/Order/Delivery/Signature_Required,Keep JSON boolean; map XML Y/N to True/False.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-TYPE-DEL-01
MAP-deliveries-19,deliveries,estimated_carbon_kg,both,$.orders[].delivery.estimatedCarbonKg,/OperationsExport/Orders/Order/Delivery/Estimated_Carbon_Kg,Parse as numeric kilograms.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-deliveries-20,deliveries,delivery_note_clean,both,$.orders[].delivery.deliveryNoteClean,/OperationsExport/Orders/Order/Delivery/Delivery_Note_Clean,Trim whitespace and preserve the already-clean human-readable delivery note.,Normalise comparable fields first; compare all values within each source and across JSON/XML by delivery_id; record/stop on any differing normalised value; retain one canonical row per delivery_id only after agreement.,Solution §4.4 and §6.9; VAL-SCHEMA-DEL-01; VAL-FLOW-DEL-02
MAP-products-01,products,product_id,XML,,/OperationsExport/ProductCatalogue/Product/Product_ID,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-PK-PROD-01
MAP-products-02,products,product_name,XML,,/OperationsExport/ProductCatalogue/Product/Product_Name,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-03,products,category,XML,,/OperationsExport/ProductCatalogue/Product/Category,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-04,products,brand,XML,,/OperationsExport/ProductCatalogue/Product/Brand,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-05,products,unit_price,XML,,/OperationsExport/ProductCatalogue/Product/Unit_Price,remove currency label and thousands separator; numeric; round to 2 decimals,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-06,products,unit_cost,XML,,/OperationsExport/ProductCatalogue/Product/Unit_Cost,remove currency label and thousands separator; numeric; round to 2 decimals,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-07,products,launch_year,XML,,/OperationsExport/ProductCatalogue/Product/Launch_Year,numeric parse; integer,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-DATE-PROD-01; VAL-TIME-PROD-01
MAP-products-08,products,warranty_months,XML,,/OperationsExport/ProductCatalogue/Product/Warranty_Months,numeric parse; integer,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-09,products,weight_kg,XML,,/OperationsExport/ProductCatalogue/Product/Weight_Kg,numeric parse; float,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-10,products,product_sku,XML,,/OperationsExport/ProductCatalogue/Product/Product_Sku,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-11,products,subcategory,XML,,/OperationsExport/ProductCatalogue/Product/Subcategory,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
MAP-products-12,products,model_family,XML,,/OperationsExport/ProductCatalogue/Product/Model_Family,strip whitespace; preserve as string,XML ProductCatalogue is authoritative; shopping-cart references are coverage checks only,Solution §4.5; VAL-SCHEMA-PROD-01; VAL-TYPE-PROD-01
